rank,symbol,name,last_price,indices
46,ALKYLAMINE,Alkyl Amines Chemicals Ltd.,,Nifty Microcap 250|Nifty Total Market
47,ABDL,Allied Blenders and Distillers Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
48,ALOKINDS,Alok Industries Ltd.,,Nifty Microcap 250|Nifty Total Market
49,ARE&M,Amara Raja Energy & Mobility Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
50,AMBER,Amber Enterprises India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
51,AMBUJACEM,Ambuja Cements Ltd.,417.5,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
52,ANANDRATHI,Anand Rathi Wealth Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
53,ANANTRAJ,Anant Raj Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
54,ANGELONE,Angel One Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
55,ANTHEM,Anthem Biosciences Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
56,ANURAS,Anupam Rasayan India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
57,APARINDS,Apar Industries Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
58,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,8920.5,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
59,APOLLO,Apollo Micro Systems Ltd.,,Nifty Microcap 250|Nifty Total Market
