rank,symbol,name,last_price
144,ATGL,Adani Total Gas,654.05
145,DABUR,Dabur India,405.25
146,YESBANK,Yes Bank,22.67
147,FORTIS,Fortis Healthcare,929.0
148,SAIL,Steel Authority of India,169.51
149,NATIONALUM,National Aluminium,376.0
150,PRESTIGE,Prestige Estates,1592.5
151,PHOENIXLTD,Phoenix Mills,1890.0
152,OBEROIRLTY,Oberoi Realty,1846.0
153,BIOCON,Biocon,417.0
154,BANKINDIA,Bank of India,144.1
155,GLENMARK,Glenmark Pharmaceuticals,2318.4
156,SUZLON,Suzlon Energy,47.1
157,ALKEM,Alkem Laboratories,5368.0
158,KALYANKJIL,Kalyan Jewellers,608.25
159,RADICO,Radico Khaitan,4650.0
160,COROMANDEL,Coromandel International,2095.3
161,COFORGE,Coforge,1812.0
162,SBICARD,SBI Cards,633.0
163,GODREJPROP,Godrej Properties,1990.0
164,APLAPOLLO,APL Apollo Tubes,2083.3
165,M&MFIN,Mahindra Finance,390.1
166,MRF,MRF,133490.0
167,KEI,KEI Industries,5700.0
168,MOTILALOFS,Motilal Oswal Financial,903.7
169,COLPAL,Colgate-Palmolive India,1981.0
170,MFSL,Max Financial Services,1538.1
171,TIINDIA,Tube Investments of India,2733.5
172,BDL,Bharat Dynamics,1398.0
173,VMM,Vishal Mega Mart,105.2
174,TATACOMM,Tata Communications,1718.1
175,MPHASIS,Mphasis,2545.0
176,360ONE,360 One WAM,1180.0
177,UPL,UPL,563.0
178,RVNL,Rail Vikas Nigam,227.35
179,PREMIERENE,Premier Energies,1017.3
180,SUPREMEIND,Supreme Industries,3558.9
181,VOLTAS,Voltas,1320.5
182,ASTRAL,Astral,1556.3
183,PAGEIND,Page Industries,36750.0
184,EXIDEIND,Exide Industries,476.1
185,CONCOR,Container Corporation,527.0
186,IRCTC,IRCTC,497.5
187,COCHINSHIP,Cochin Shipyard,1496.5
188,PATANJALI,Patanjali Foods,352.0
189,HUDCO,HUDCO,189.99
190,PIIND,PI Industries,2490.1
191,TATAINVEST,Tata Investment Corporation,667.3
192,GODFRYPHLP,Godfrey Phillips India,2149.0
193,JUBLFOOD,Jubilant Foodworks,504.1
194,IREDA,Indian Renewable Energy,116.25
195,BLUESTARCO,Blue Star,1508.0
196,LICHSGFIN,LIC Housing Finance,500.0
197,TATAELXSI,Tata Elxsi,3772.7
198,KPITTECH,KPIT Technologies,614.0
199,GVT&D,GE Vernova T&D India,4350.0
200,BSE,BSE,3447.0
