rank,symbol,name,last_price,indices
59,BLS,BLS International Services Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
60,BSE,BSE Ltd.,3447.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
61,BAJAJ-AUTO,Bajaj Auto Ltd.,11700.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
62,BAJFINANCE,Bajaj Finance Ltd.,1087.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
63,BAJAJFINSV,Bajaj Finserv Ltd.,2008.3,Nifty 100|Nifty 200|Nifty 50|Nifty 500
64,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,11475.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
65,BAJAJHFL,Bajaj Housing Finance Ltd.,,Nifty 500|Nifty Midcap 150
66,BALKRISIND,Balkrishna Industries Ltd.,,Nifty 500|Nifty Midcap 150
67,BALRAMCHIN,Balrampur Chini Mills Ltd.,,Nifty 500|Nifty Smallcap 250
68,BANDHANBNK,Bandhan Bank Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
69,BANKBARODA,Bank of Baroda,248.22,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
70,BANKINDIA,Bank of India,144.1,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
71,MAHABANK,Bank of Maharashtra,,Nifty 500|Nifty Midcap 150
72,BATAINDIA,Bata India Ltd.,,Nifty 500|Nifty Smallcap 250
73,BAYERCROP,Bayer Cropscience Ltd.,,Nifty 500|Nifty Smallcap 250
74,BELRISE,Belrise Industries Ltd.,,Nifty 500|Nifty Smallcap 250
75,BERGEPAINT,Berger Paints India Ltd.,,Nifty 500|Nifty Midcap 150
76,BDL,Bharat Dynamics Ltd.,1398.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
77,BEL,Bharat Electronics Ltd.,410.8,Nifty 100|Nifty 200|Nifty 50|Nifty 500
78,BHARATFORG,Bharat Forge Ltd.,2065.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
79,BHEL,Bharat Heavy Electricals Ltd.,421.7,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
